,City,Country,Max Temp,Humidity,Wind Speed,Cloudiness,Longitude,Latitude
0,Aykhal,RU,-17.91,74,3.38,48,111.51,65.95
1,Naze,NG,78.8,94,7.63,20,7.07,5.43
2,Mandalgovi,MN,11.44,93,8.75,68,106.27,45.76
3,Barrow,AR,73.04,84,5.17,32,-60.23,-38.31
4,Cape Town,ZA,59.0,87,10.29,0,18.42,-33.93
5,Cap Malheureux,MU,77.0,94,4.7,40,57.61,-19.98
6,Tuatapere,NZ,63.64,87,23.4,36,167.69,-46.13
7,San Felipe,CL,75.2,38,13.87,0,-70.73,-32.75
8,Launceston,AU,66.2,63,10.29,88,147.14,-41.43
9,Lasa,CY,60.8,93,6.93,0,32.53,34.92
10,Upernavik,GL,-4.05,100,11.21,32,-56.15,72.79
11,Hithadhoo,MV,82.49,100,5.06,8,73.08,-0.6
12,Bakchar,RU,-0.77,68,6.51,68,82.07,57.02
13,Comodoro Rivadavia,AR,84.2,37,13.87,40,-67.48,-45.87
14,Busselton,AU,73.81,90,10.98,0,115.35,-33.64
15,Jamestown,AU,79.47,70,7.07,68,138.6,-33.21
16,Mataura,NZ,70.93,51,27.54,76,168.86,-46.19
17,Carquefou,FR,44.6,93,3.36,0,-1.49,47.3
18,Berlevag,NO,19.94,100,3.15,80,29.09,70.86
19,Poum,MK,22.82,76,1.81,68,20.71,41.28
20,Mabaruma,GY,77.68,75,7.96,36,-59.78,8.2
21,Ushuaia,AR,48.2,87,12.75,40,-68.31,-54.81
22,Camacha,PT,60.8,77,3.36,40,-16.33,33.08
23,Ushuaia,AR,48.2,87,12.75,40,-68.31,-54.81
24,Fort Nelson,CA,17.6,57,8.05,75,-122.69,58.81
25,Batalha,PT,44.6,93,1.12,0,-8.82,39.66
26,Nikolskoye,RU,24.8,92,6.71,75,30.79,59.7
27,Caluquembe,AO,63.41,97,2.59,88,14.68,-13.78
28,Pyay,MM,77.58,67,4.5,0,95.22,18.82
29,Puerto Ayora,EC,80.6,78,8.05,20,-90.35,-0.74
30,Dingle,PH,82.31,73,13.89,56,122.67,11.0
31,Adrar,DZ,57.2,20,14.99,0,-0.29,27.87
32,Airai,TL,84.56,53,2.71,0,125.41,-8.93
33,Port Alfred,ZA,71.73,91,16.24,0,26.89,-33.59
34,Bluff,AU,90.64,58,4.61,0,149.07,-23.58
35,Krasnoborsk,RU,18.77,93,4.27,80,45.93,61.56
36,Severo-Kurilsk,RU,24.12,100,9.19,32,156.12,50.68
37,Upernavik,GL,-4.05,100,11.21,32,-56.15,72.79
38,Mehamn,NO,13.82,75,3.49,76,27.85,71.03
39,Hofn,IS,34.3,100,1.36,32,-15.21,64.25
40,Lebu,ET,59.0,72,6.93,75,38.73,8.96
41,Cape Town,ZA,59.0,87,10.29,0,18.42,-33.93
42,Hasaki,JP,37.4,29,11.41,75,140.83,35.73
43,Tautira,PF,86.0,66,14.99,75,-149.15,-17.73
44,Ponta do Sol,BR,63.1,98,4.72,44,-46.0,-20.63
45,Kruisfontein,ZA,61.66,80,9.42,0,24.73,-34.0
